Cilium compartment(s),Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,Subcellular location,Subcellular main location,Subcellular additional location,Reliability (IF),RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type specific nCPM,Protein cell type specificity
Basal body; Primary cilium,ATP2B4,ATP2B2; MXRA1; PMCA4,ENSG00000058668,ATPase plasma membrane Ca2+ transporting 4,P23634,1,203626832-203744081,Enzymes; FDA approved drug targets; Metabolic proteins; Predicted intracellular proteins; Predicted membrane proteins; Transporters,Calcium transport; Ion transport; Transport,Calmodulin-binding; Translocase,FDA approved drug targets,Evidence at protein level,Plasma membrane; Primary cilium; Mitochondria; Basal body,Plasma membrane; Primary cilium,Mitochondria; Basal body,Supported,Tissue enhanced,Detected in all,,{'smooth muscle': '164.7'},Cell type enhanced,"{'Alveolar cells type 1': '486.4', 'Basal keratinocytes': '496.5', 'Smooth muscle cells': '476.1', 'Suprabasal keratinocytes': '691.2'}",Cell type enhanced
Centrosome,AUNIP,AIBp; C1orf135; MGC2603,ENSG00000127423,Aurora kinase A and ninein interacting protein,Q9H7T9,1,25831913-25859458,Predicted intracellular proteins,DNA damage; DNA repair,DNA-binding,,Evidence at protein level,Centrosome,Centrosome,,Supported,Group enriched,Detected in some,6,"{'bone marrow': '5.9', 'testis': '14.9'}",Cell type enhanced,"{'Cardiomyocytes': '75.4', 'Differentiating spermatogonia': '38.8', 'Early primary spermatocytes': '81.1', 'Early spermatids': '66.5', 'Epicardial cells': '47.8', 'Late primary spermatocytes': '44.0', 'Late spermatids': '186.0', 'Oocytes': '78.3'}",Not detected
Basal body; Primary cilium,AXDND1,C1orf125; FLJ32940,ENSG00000162779,Axonemal dynein light chain domain containing 1,Q5T1B0,1,179365720-179554735,Predicted intracellular proteins,Differentiation; Spermatogenesis,,Disease variant,Evidence at protein level,Primary cilium; Basal body; Cytosol,Primary cilium; Cytosol,Basal body,Approved,Tissue enriched,Detected in single,33,{'testis': '14.7'},Cell type enhanced,"{'Early spermatids': '242.0', 'Ependymal cells': '92.5', 'Foveolar cells': '62.4', 'Late primary spermatocytes': '246.0', 'Late spermatids': '425.1'}",Group enriched
Centrosome,BCAR3,AND-34; MIG7; NSP2; SH2D3B,ENSG00000137936,"BCAR3 adaptor protein, NSP family member",O75815,1,93561741-93847150,Predicted intracellular proteins,,Guanine-nucleotide releasing factor,,Evidence at protein level,Plasma membrane; Centrosome; Cytosol,Plasma membrane; Cytosol,Centrosome,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Bergmann glia': '273.4', 'Endometrial secretory cells': '277.1', 'Podocytes': '337.6'}",Cell type enhanced
Centrosome,BCAS2,DAM1; Snt309; SPF27,ENSG00000116752,BCAS2 pre-mRNA processing factor,O75934,1,114567557-114581629,Essential proteins; Predicted intracellular proteins,mRNA processing; mRNA splicing,,,Evidence at protein level,Nuclear speckles; Centrosome,Nuclear speckles; Centrosome,,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Oocytes': '409.9'},Low cell type specificity
Centriolar satellite,C1orf146,SPO16,ENSG00000203910,Chromosome 1 open reading frame 146,Q5VVC0,1,92217915-92245813,Predicted intracellular proteins,Meiosis,,,Evidence at transcript level,Centriolar satellite,Centriolar satellite,,Approved,Group enriched,Detected in some,8,"{'retina': '1.9', 'testis': '7.0'}",Group enriched,"{'Early primary spermatocytes': '111.3', 'Oocytes': '59.9'}",Not detected
Centrosome,CALML6,CAGLP,ENSG00000169885,Calmodulin like 6,Q8TD86,1,1915108-1917296,Predicted intracellular proteins; RAS pathway related proteins,,,,Evidence at protein level,Nucleoplasm; Nuclear speckles; Nuclear bodies; Vesicles; Centrosome; Cytosol,Nuclear speckles,Nucleoplasm; Nuclear bodies; Vesicles; Centrosome; Cytosol,Supported,Group enriched,Detected in some,19,"{'skeletal muscle': '144.8', 'tongue': '102.3'}",Cell type enriched,{'Thymic myoid cells': '29.9'},Not detected
Basal body; Primary cilium,CAMK1G,CLICKIII; dJ272L16.1; VWS1,ENSG00000008118,Calcium/calmodulin dependent protein kinase IG,Q96NX5,1,209583714-209613939,Enzymes; Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins,,Allosteric enzyme; Calmodulin-binding; Kinase; Serine/threonine-protein kinase; Transferase,,Evidence at protein level,Nucleoplasm; Primary cilium; Basal body; Cytosol,Nucleoplasm; Cytosol,Primary cilium; Basal body,Approved,Tissue enhanced,Detected in some,,"{'brain': '48.1', 'ovary': '25.7'}",Cell type enhanced,"{'Brain excitatory neurons': '13.6', 'Brain inhibitory neurons': '22.9', 'Endometrial glandular cells': '13.0', 'Endometrial luminal cells': '20.4', 'Endometrial secretory cells': '25.3', 'Epididymal basal cells': '14.2', 'Epididymal principal cells': '8.6', 'Other brain neurons': '14.4', 'Ovarian stromal cells': '12.6', 'Retinal ganglion cells': '7.7', 'Salivary basal cells': '39.1', 'Salivary myoepithelial cells': '7.8', 'Somatotrophs': '13.6'}",Group enriched
Primary cilium,CAMK2N1,CaMKIINalpha,ENSG00000162545,Calcium/calmodulin dependent protein kinase II inhibitor 1,Q7Z7J9,1,20482391-20486210,Predicted intracellular proteins,,Protein kinase inhibitor,,Evidence at protein level,Primary cilium; Cytosol,Cytosol,Primary cilium,Approved,Tissue enriched,Detected in many,7,{'brain': '582.0'},Cell type enhanced,"{'Colonocytes': '495.7', 'Epididymal clear cells': '528.7', 'Epididymal efferent duct absorptive cells': '300.0', 'Esophageal apical cells': '360.7', 'Goblet cells': '465.2', 'Ocular epithelial cells': '298.1', 'Oligodendrocytes': '288.0', 'Salivary duct cells': '470.4'}",Not detected
Basal body; Primary cilium,CAMSAP2,CAMSAP1L1; KIAA1078,ENSG00000118200,Calmodulin regulated spectrin associated protein family member 2,Q08AD1,1,200738893-200860704,Disease related genes; Predicted intracellular proteins,,,,Evidence at protein level,Golgi apparatus; Microtubule ends; Primary cilium; Basal body; Cytosol,Microtubule ends,Golgi apparatus; Primary cilium; Basal body; Cytosol,Supported,Low tissue specificity,Detected in many,,,Low cell type specificity,,Cell type enhanced
Basal body,CAMTA1,KIAA0833,ENSG00000171735,Calmodulin binding transcription activator 1,Q9Y6Y1,1,6785454-7769706,Cancer-related genes; Disease related genes; Human disease related genes; Predicted intracellular proteins,Transcription; Transcription regulation,Activator,Cancer-related genes; Intellectual disability,Evidence at protein level,Nucleoli; Basal body; Cytosol,Cytosol,Nucleoli; Basal body,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Megakaryocytes': '1075.6', 'Retinal ganglion cells': '1035.2'}",Cell type enriched
Basal body,CCNL2,ania-6b; CCNM; CCNS; HLA-ISO; PCEE; SB138,ENSG00000221978,Cyclin L2,Q96S94,1,1385711-1399335,Predicted intracellular proteins,Transcription; Transcription regulation,Cyclin,,Evidence at protein level,Nucleoplasm; Vesicles; Basal body; Cytosol,Nucleoplasm,Vesicles; Basal body; Cytosol,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enhanced
Basal body; Primary cilium,CDK18,PCTAIRE3; PCTK3,ENSG00000117266,Cyclin dependent kinase 18,Q07002,1,205504596-205532793,Enzymes; Predicted intracellular proteins,,Kinase; Serine/threonine-protein kinase; Transferase,,Evidence at protein level,Actin filaments; Mitotic spindle; Primary cilium; Basal body; Cytosol,Actin filaments; Cytosol,Mitotic spindle; Primary cilium; Basal body,Approved,Group enriched,Detected in all,7,"{'brain': '367.7', 'heart muscle': '116.7'}",Cell type enriched,{'Oligodendrocytes': '552.9'},Cell type enhanced
Basal body; Centrosome,CEP170,FAM68A; KAB; KIAA0470,ENSG00000143702,Centrosomal protein 170,Q5SW79,1,243124428-243255348,Predicted intracellular proteins; Predicted membrane proteins,,,,Evidence at protein level,Centrosome; Basal body; Cytosol,Centrosome; Basal body,Cytosol,Supported,Group enriched,Detected in all,5,"{'bone marrow': '49.6', 'brain': '22.8', 'testis': '85.1'}",Cell type enhanced,"{'Astrocytes': '117.7', 'Bergmann glia': '122.6', 'Brain excitatory neurons': '153.9', 'Brain inhibitory neurons': '147.0', 'Early spermatids': '211.3', 'Late spermatids': '1375.9', 'Microglia': '465.0', 'Oligodendrocyte progenitor cells': '157.7', 'Oligodendrocytes': '314.7', 'Other brain neurons': '137.1'}",Low cell type specificity
Basal body; Centrosome,CEP350,CAP350; KIAA0480,ENSG00000135837,Centrosomal protein 350,Q5VT06,1,179954674-180114880,Plasma proteins; Predicted intracellular proteins,,,,Evidence at protein level,Nucleoplasm; Centrosome; Basal body; End piece,Nucleoplasm; Centrosome,Basal body; End piece,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Early spermatids': '1017.4', 'Late spermatids': '1168.8', 'Neutrophil progenitors': '721.0'}",Cell type enriched
Centrosome,CEP85,CCDC21; DKFZP434L0117,ENSG00000130695,Centrosomal protein 85,Q6P2H3,1,26234200-26278808,Predicted intracellular proteins,Chromosome partition,,,Evidence at protein level,Nucleoli; Golgi apparatus; Vesicles; Centrosome; Cytosol,Nucleoli; Golgi apparatus,Vesicles; Centrosome; Cytosol,Approved,Tissue enhanced,Detected in all,,"{'skeletal muscle': '124.5', 'tongue': '61.6'}",Cell type enhanced,"{'Cardiomyocytes': '147.7', 'Early primary spermatocytes': '85.6', 'Myonuclei': '320.5', 'Renal collecting duct intercalated cells': '81.7', 'Syncytiotrophoblasts': '94.6'}",Cell type enhanced
Primary cilium,CFAP126,C1orf192; Flattop; Fltp,ENSG00000188931,Cilia and flagella associated protein 126,Q5VTH2,1,161364733-161367876,Predicted intracellular proteins,Cilium biogenesis/degradation,,,Evidence at protein level,Vesicles; Plasma membrane; Primary cilium; Cytosol; Mid piece; Principal piece,Plasma membrane; Primary cilium; Mid piece,Vesicles; Cytosol; Principal piece,Approved,Tissue enhanced,Detected in many,,"{'choroid plexus': '202.0', 'fallopian tube': '142.6'}",Group enriched,"{'Endometrial ciliated cells': '238.8', 'Epididymal efferent duct ciliated cells': '477.2', 'Fallopian tube ciliated cells': '544.0', 'Late primary spermatocytes': '161.5', 'Respiratory ciliated cells': '388.2'}",Cell type enriched
Basal body,CFAP45,CCDC19; NESG1,ENSG00000213085,Cilia and flagella associated protein 45,Q9UL16,1,159872364-159900165,Disease related genes; Human disease related genes; Predicted intracellular proteins,,,Ciliopathy; Disease variant; Heterotaxy,Evidence at protein level,Nucleoplasm; Basal body; Cytosol; Mid piece; Principal piece; End piece,Nucleoplasm; Mid piece; Principal piece; End piece,Basal body; Cytosol,Uncertain,Group enriched,Detected in some,7,"{'choroid plexus': '35.2', 'fallopian tube': '42.1', 'testis': '26.7'}",Cell type enhanced,"{'Early spermatids': '254.8', 'Endometrial ciliated cells': '136.9', 'Ependymal cells': '144.2', 'Epididymal efferent duct ciliated cells': '180.9', 'Fallopian tube ciliated cells': '310.3', 'Late primary spermatocytes': '211.1', 'Late spermatids': '61.4', 'Respiratory ciliated cells': '343.8'}",Cell type enriched
Primary cilium,CFAP57,FLJ32000; WDR65,ENSG00000243710,Cilia and flagella associated protein 57,Q96MR6,1,43172330-43254358,Predicted intracellular proteins; Predicted membrane proteins,,,Disease variant,Evidence at protein level,Primary cilium; Cytosol,Primary cilium; Cytosol,,Supported,Group enriched,Detected in some,6,"{'choroid plexus': '13.2', 'fallopian tube': '22.0', 'testis': '14.8'}",Cell type enhanced,"{'Choroid plexus epithelial cells': '47.6', 'Endometrial ciliated cells': '118.3', 'Ependymal cells': '114.6', 'Epididymal efferent duct ciliated cells': '86.9', 'Fallopian tube ciliated cells': '188.0', 'Late primary spermatocytes': '75.3', 'Late spermatids': '40.6', 'Respiratory ciliated cells': '232.8'}",Group enriched
Primary cilium tip,CHRM3,,ENSG00000133019,Cholinergic receptor muscarinic 3,P20309,1,239386565-239915452,Disease related genes; FDA approved drug targets; G-protein coupled receptors; Human disease related genes; Predicted membrane proteins,,G-protein coupled receptor; Receptor; Transducer,FDA approved drug targets,Evidence at protein level,Nucleoli; Vesicles; Plasma membrane; Primary cilium tip,Plasma membrane,Nucleoli; Vesicles; Primary cilium tip,Supported,Tissue enhanced,Detected in many,,{'salivary gland': '16.5'},Cell type enhanced,"{'Brain excitatory neurons': '469.0', 'Brain inhibitory neurons': '475.5', 'Gastric chief cells': '458.7', 'Granulosa cells': '429.8', 'Hematopoietic stem cells': '698.7', 'Lacrimal acinar cells': '585.2', 'Mucous neck cells': '597.4', 'Pancreatic acinar cells': '983.9', 'Salivary acinar cells': '2061.3', 'Salivary myoepithelial cells': '1305.7', 'Smooth muscle cells': '548.1'}",Group enriched
Centrosome,CLIC4,CLIC4L; DKFZP566G223; H1; huH1; P64H1,ENSG00000169504,Chloride intracellular channel 4,Q9Y696,1,24745382-24844321,Predicted intracellular proteins; Transporters,Ion transport; Transport,Chloride channel; Ion channel; Oxidoreductase; Voltage-gated channel,,Evidence at protein level,Plasma membrane; Centrosome; Calyx; Connecting piece; Principal piece,Plasma membrane; Centrosome,Calyx; Connecting piece; Principal piece,Supported,Tissue enhanced,Detected in all,,{'blood vessel': '408.2'},Cell type enhanced,"{'Endometrial stromal cells': '590.8', 'Epicardial cells': '755.0', 'Extravillous trophoblasts': '629.5', 'Mesothelial cells': '588.3', 'Plasma cells': '613.3', 'Schwann cells': '1130.9', 'Smooth muscle cells': '835.4'}",Cell type enhanced
Basal body; Centrosome; Primary cilium transition zone,CROCC,CROCC1; ROLT; rootletin,ENSG00000058453,"Ciliary rootlet coiled-coil, rootletin",Q5TZA2,1,16740273-16972964,Predicted intracellular proteins,Cell cycle; Cilium biogenesis/degradation,,,Evidence at protein level,Plasma membrane; Primary cilium transition zone; Centrosome; Basal body; Mid piece,Centrosome; Basal body,Plasma membrane; Primary cilium transition zone; Mid piece,Supported,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Ependymal cells': '212.5', 'Respiratory ciliated cells': '240.2', 'Rod photoreceptor cells': '329.8'}",Group enriched
Basal body; Centrosome; Primary cilium; Primary cilium tip,DDX59,DKFZP564B1023; ZNHIT5,ENSG00000118197,DEAD-box helicase 59,Q5T1V6,1,200623896-200669907,Disease related genes; Enzymes; Essential proteins; Human disease related genes; Potential drug targets; Predicted intracellular proteins,,Helicase; Hydrolase; RNA-binding,Ciliopathy; Disease variant,Evidence at protein level,Nucleoplasm; Vesicles; Actin filaments; Primary cilium; Primary cilium tip; Centrosome; Basal body,Nucleoplasm; Actin filaments,Vesicles; Primary cilium; Primary cilium tip; Centrosome; Basal body,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enhanced
Primary cilium,DEGS1,DEGS-1; Des-1; DES1; FADS7; MLD,ENSG00000143753,"Delta 4-desaturase, sphingolipid 1",O15121,1,224175756-224193441,Disease related genes; Enzymes; Human disease related genes; Metabolic proteins; Potential drug targets; Predicted membrane proteins,Fatty acid biosynthesis; Fatty acid metabolism; Lipid biosynthesis; Lipid metabolism,Isomerase; Oxidoreductase,Disease variant; Leukodystrophy,Evidence at protein level,Plasma membrane; Cytokinetic bridge; Primary cilium; Mitochondria,Mitochondria,Plasma membrane; Cytokinetic bridge; Primary cilium,Supported,Tissue enriched,Detected in all,4,{'skin 1': '505.2'},Cell type enhanced,"{'Basal keratinocytes': '244.1', 'Cytotrophoblasts': '361.6', 'Endometrial glandular cells': '226.6', 'Suprabasal keratinocytes': '239.6', 'Syncytiotrophoblasts': '237.2'}",Group enriched
Basal body; Centrosome,DNAH14,C1orf67; DKFZp781B1548; Dnahc14; HL-18; HL18; MGC27277,ENSG00000185842,Dynein axonemal heavy chain 14,Q0VDD8,1,224896262-225399292,Predicted intracellular proteins,,Motor protein,,Evidence at protein level,Golgi apparatus; Centrosome; Basal body,Centrosome; Basal body,Golgi apparatus,Approved,Tissue enhanced,Detected in many,,{'testis': '18.5'},Cell type enhanced,"{'Early spermatids': '359.7', 'Gonadotrophs': '374.6', 'Lactotrophs': '479.0', 'Retinal amacrine cells': '372.0', 'Somatotrophs': '438.7', 'Thyrotrophs': '448.4'}",Cell type enriched
Primary cilium,DNALI1,dJ423B22.5; hp28; P28,ENSG00000163879,Dynein axonemal light intermediate chain 1,O14645,1,37556919-37566857,Predicted intracellular proteins,,Motor protein,,Evidence at protein level,Nucleoplasm; Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Mid piece; Principal piece; End piece,Primary cilium; Mid piece; Principal piece; End piece,Nucleoplasm; Microtubules; Cytokinetic bridge; Mitotic spindle,Supported,Tissue enhanced,Detected in many,,"{'choroid plexus': '75.0', 'fallopian tube': '51.2'}",Cell type enhanced,"{'Early spermatids': '657.8', 'Endometrial ciliated cells': '336.5', 'Epididymal efferent duct ciliated cells': '363.9', 'Fallopian tube ciliated cells': '391.2', 'Late primary spermatocytes': '514.2', 'Late spermatids': '1404.5', 'Respiratory ciliated cells': '447.7'}",Cell type enriched
Primary cilium,EFCAB7,KIAA1799; RP4-534K7.1,ENSG00000203965,EF-hand calcium binding domain 7,A8K855,1,63523372-63572693,Predicted intracellular proteins,,,,Evidence at protein level,Primary cilium; Cytosol,Primary cilium; Cytosol,,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Choroid plexus epithelial cells': '92.2', 'Late primary spermatocytes': '138.8', 'Thymic myoid cells': '239.3'}",Cell type enhanced
Primary cilium,ENSG00000286185,,ENSG00000286185,"Novel protein, identical to neuroblastoma breakpoint family, member 19 NBPF19",,1,149390623-149556361,Predicted intracellular proteins,,,,Evidence at protein level,Golgi apparatus; Vesicles; Microtubules; Cytokinetic bridge; Primary cilium; Cytosol; Mid piece; Principal piece; End piece,Primary cilium; Cytosol,Golgi apparatus; Vesicles; Microtubules; Cytokinetic bridge; Mid piece; Principal piece; End piece,Approved,Not detected,Not detected,,,Cell type enhanced,"{'monocytes': '31.2', 'Myosatellite cells': '27.9'}",
